metric,orchid_donors,national,difference
DCD %,19.81688065670385,42.874801342,-23.057920685296146
Male %,61.48179330667228,61.263170287,0.21862301967227893
Age 65+ %,6.324984213849715,12.502207311,-6.177223097150284
